Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2020,BMW,BMX,BMW,X1 sDrive28i,EL88964,2,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX91004392,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0063003,0.3039568,282.571173,0.0022865,,0.0020556,,31.4,MPG,30.0850259,31.7224838,32.1439404,,0.742337,0.706542,-0.974852,42.9,-0.086,0.02226,9.4,0.171,0.02019,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X1 sDrive28i,EL88964,3,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX91004375,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0062448,0.3546609,302.1353998,0.0022043,,0.0018119,,29.5,MPG,28.3254155,29.485728,30.2417095,,1.522339,1.084451,-0.291276,46.8,-0.075,0.02217,19.7,0.124,0.01984,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X1 sDrive28i,EL88964,3,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX91004378,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0,0.0061689,194.3451934,0.0028714,,0.0002976,,45.9,MPG,,,,,5.160946,3.636659,-0.409896,46.8,-0.075,0.02217,19.7,0.124,0.01984,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X1 xDrive28i,EL92964,0,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10060253,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.000387,0.0007042,200.2363476,0.0076758,,0.0,,44.1,MPG,,,,,-1.294903,-0.928158,-0.4876722,44.9,-0.01,0.02184,1.9,0.172,0.01884,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X1 xDrive28i,EL92964,0,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10060255,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0064361,0.3015058,302.9574524,0.0027033,,0.0016179,0.0004815,29.1,MPG,27.4499156,29.5188685,29.6605136,,-1.317604,-0.7170134,-0.8386904,44.9,-0.01,0.02184,1.9,0.172,0.01884,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X1 xDrive28i,EL92964,1,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10060277,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.000175,0.0019743,204.6716034,0.0074616,,0.0,,43.1,MPG,,,,,2.41222,1.935314,-0.4220486,48.9,0.001,0.02176,4.9,0.158,0.01892,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X1 xDrive28i,EL92964,1,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10060279,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0059687,0.3277088,296.7817848,0.0028207,,0.0014321,0.0006089,29.7,MPG,28.0557379,30.2215955,29.8583466,,-0.1696578,-0.0167486,-1.1113675,48.9,0.001,0.02176,4.9,0.158,0.01892,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 M35i,3H61916,2,2.0,LBMXV02.0M48,Car,301,4.0,B48A20T1F39X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10059240,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.01409,0.1487667,286.0316247,0.0531908,,0.0034192,0.0045711,30.9,MPG,29.1893907,30.6244266,32.8909114,,-0.860821,-0.6570523,-0.8605939,47.2,0.027,0.02177,1.8,0.129,0.01962,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 M35i,3H61916,2,2.0,LBMXV02.0M48,Car,301,4.0,B48A20T1F39X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10059241,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0122301,0.0229813,195.1093391,0.0352638,,0.0058841,,45.4,MPG,,,,,-0.6248299,-0.6215855,-0.3959104,47.2,0.027,0.02177,1.8,0.129,0.01962,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 M35i,3H61916,3,2.0,LBMXV02.0M48,Car,301,4.0,B48A20T1F39X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10059242,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0145953,0.1521217,296.6163162,0.0724735,,0.0028102,0.0042525,29.8,MPG,27.5601384,29.9002081,31.5892563,,0.2331807,0.1289165,-0.0836559,51.2,0.039,0.02175,6.2,0.317,0.01724,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 M35i,3H61916,3,2.0,LBMXV02.0M48,Car,301,4.0,B48A20T1F39X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,3.2,27.7,1,Not eqipped,LBMX10059243,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0073279,0.0072198,206.6739305,0.0432088,,0.0044184,,42.7,MPG,,,,,2.333986,1.872329,-0.2864148,51.2,0.039,0.02175,6.2,0.317,0.01724,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 sDrive28i,EL88964,0,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F39S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX10060228,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0004973,0.0030285,190.5540209,0.0077287,,0.0004145,,46.2,MPG,,,,,2.991051,2.527165,-0.2448871,43.3,-0.085,0.02204,11.9,0.14,0.02008,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 sDrive28i,EL88964,0,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F39S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX10060229,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0056975,0.3196942,285.3751358,0.0047647,,0.0017141,0.0011667,30.9,MPG,29.0896885,30.9671308,32.1265499,,1.032822,0.7309437,-0.4031198,43.3,-0.085,0.02204,11.9,0.14,0.02008,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 sDrive28i,EL88964,1,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F39S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX10060230,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0061797,0.3865531,295.2074996,0.0035093,,0.0017693,0.0007439,29.9,MPG,28.446399,29.919103,30.7244974,,3.271719,2.158225,0.0737322,47.2,-0.074,0.02227,20.3,0.092,0.02044,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X2 sDrive28i,EL88964,1,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F39S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX10060231,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0009277,0.0017099,197.2208033,0.0051764,,0.0004634,,44.8,MPG,,,,,2.665731,2.169859,-0.3317489,47.2,-0.074,0.02227,20.3,0.092,0.02044,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X3 M,LA99427,1,3.0,LBMXT03.0S58,Truck,473,6.0,S58B30T0F97X,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,N,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.15,23.8,1,Not eqipped,LBMX10057388,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00611,0.0838,290.943,0.0002,,0.00167,,30.3,MPG,,,,,5.252,4.059,-0.478,71.0,-0.148,0.0309,8.6,0.095,0.0267,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X3 M,LA99427,1,3.0,LBMXT03.0S58,Truck,473,6.0,S58B30T0F97X,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,N,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.15,23.8,1,Not eqipped,LBMX10057389,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.01834,0.2407,452.7928,0.0055,,0.00289,0.0021,19.5,MPG,18.1,19.9,19.9,,0.553,0.669,-0.32,71.0,-0.148,0.0309,8.6,0.095,0.0267,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X3 M,LA99427,2,3.0,LBMXT03.0S58,Truck,473,6.0,S58B30T0F97X,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,N,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.15,23.8,1,Not eqipped,LBMX10057393,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00031,0.0,364.2511,0.0014,,0.0,,24.2,MPG,,,,,0.118,0.144,-0.642,71.0,-0.148,0.0309,8.6,0.095,0.0267,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X3 M,LA99427,2,3.0,LBMXT03.0S58,Truck,473,6.0,S58B30T0F97X,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,N,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.15,23.8,1,Not eqipped,LBMX10057394,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00657,0.1373,557.84,0.0107,,0.00157,0.0014,15.8,MPG,15.2,15.6,16.8,,-1.11,-0.56,-1.168,71.0,-0.148,0.0309,8.6,0.095,0.0267,TWC,Three-way catalyst,N,,,N,No averaging
